에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),646174,465586,226446,1474011,313908,125281,946151,155971,4162365,4854631,2155759,7329833,6841164,4938585,3694386,2312863,2480660,50657393
① 재생에너지 합,305085,281257,218595,520583,310682,93553,932221,116237,2929914,4805455,2155142,4494230,6832526,4770519,3662355,2293227,2480469,43668518
② 신에너지 합,341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,2835603,8638,168067,32031,19637,191,6988875
신·재생에너지 지역별 발전비중 (%),1.50,1.08,0.53,3.42,0.73,0.29,2.19,0.36,9.65,11.26,5.00,17.00,15.86,11.45,8.57,5.36,5.75,100.00
태양광 (MWh),228302,227625,170703,190865,292567,92382,124484,85394,1441434,1408461,1115632,2479172,3241991,3972969,2317698,1457496,490790,24717623
풍력 (MWh),204,253,26,52828,2,398,1514,0,5637,782333,28,3001,131208,576232,944038,74184,578062,3180017
수력 (MWh),1112,93,12951,39579,7795,241,1457,0,649895,1062271,1010026,61599,285784,114120,319014,310046,3399,3057210
해양 (MWh),0,0,0,0,0,0,0,0,457257,0,0,0,0,0,0,0,6,454980
바이오 (MWh),29554,9827,29663,228842,4779,0,799437,25790,302620,1527599,8846,1933197,3157632,45367,29698,434237,1371267,11788068
폐기물 (MWh),45912,43458,5252,8470,5539,533,5330,5053,73072,24791,20610,17261,15911,61831,51907,17263,36946,470620
연료전지 (MWh),341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,458230,8638,168067,32031,19637,191,4798120
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,2377374,0,0,0,0,0,2190755
